Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
45;Alternative Hostel of Old Montreal;4.5;35.75;2;17.9;228.2;61.75;2;2;228.2;26.00;0;0;0.0;0.00;Place d'Armes|Musée du Montréal juif - Museum of Jewish Montreal;Walking|Walking|Walking;;
46;Alternative Hostel of Old Montreal;4.5;35.75;1;13.6;140.4;35.75;0;0;0.0;0.00;1;1;140.4;0.00;;;St. Patrick's Basilica;Walking|Walking
47;Auberge L'Apero;4.0;25.25;1;12.2;86.8;25.25;0;0;0.0;0.00;1;1;86.8;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
48;Hotel Nelligan;4.7;486.75;1;13.6;67.8;490.23;0;0;0.0;0.00;1;1;67.8;3.48;;;Maisonneuve Monument - Montreal;Walking|Car
49;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;0;0;0.0;0.00;1;1;64.3;0.00;;;Maisonneuve Monument - Montreal;Walking|Walking
50;Hotel Gault;4.7;491.25;1;13.6;67.2;493.58;0;0;0.0;0.00;1;1;67.2;2.33;;;Maisonneuve Monument - Montreal;Car|Walking
51;Hotel Gite du Survenant Montreal;4.7;193.75;1;13.6;90.0;193.75;0;0;0.0;0.00;1;1;90.0;0.00;;;Place d'Armes;Walking|Walking
52;LHotel;4.5;346.00;1;13.2;64.6;346.00;0;0;0.0;0.00;1;1;64.6;0.00;;;Maisonneuve Monument - Montreal;Walking|Walking
53;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.5;132.4;243.25;1;1;132.4;0.00;0;0;0.0;0.00;Kondiaronk Belvedere;Walking|Walking;;
54;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.6;141.3;250.43;0;0;0.0;0.00;1;1;141.3;7.18;;;St. Patrick's Basilica;Car|Bus
55;Warwick Le Crystal - Montréal;4.8;401.50;1;13.8;75.7;405.15;0;0;0.0;0.00;1;1;75.7;3.65;;;Cathédrale Christ Church Cathedral;Car|Walking
56;Warwick Le Crystal - Montréal;4.8;401.50;1;13.8;68.0;409.48;0;0;0.0;0.00;1;1;68.0;7.98;;;Cathédrale Christ Church Cathedral;Car|Car
57;Sonder Maisonneuve;4.7;228.25;1;13.6;79.3;232.73;0;0;0.0;0.00;1;1;79.3;4.48;;;Cathédrale Christ Church Cathedral;Car|Walking
58;Alternative Hostel of Old Montreal;4.5;35.75;1;13.2;70.1;39.68;1;1;70.1;3.93;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Car|Walking;;
59;Alternative Hostel of Old Montreal;4.5;35.75;1;13.2;67.9;43.62;1;1;67.9;7.87;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Car|Car;;
60;Alternative Hostel of Old Montreal;4.5;35.75;1;13.2;72.3;35.75;1;1;72.3;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
