,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Maison Saint-Gabriel Museum and Historic Site,N,N,53.43333333333333,50.46666666666667,43.36666666666667,N,N,46.233333333333334,N,N,43.766666666666666,52.05,N,N,47.06666666666667,N,49.93333333333333,N,33.06666666666667,45.21666666666667,N,30.45,N,N,38.71666666666667,N,N,N,N,29.65,N,33.03333333333333,N,42.63333333333333,N,32.833333333333336,N,N,51.11666666666667,N,N,N,N,N,N,N,38.016666666666666,N,N,48.333333333333336
Mem – Centre Des Mémoires Montréalaises,N,N,32.266666666666666,45.3,22.2,N,N,19.75,23.616666666666667,N,22.6,30.883333333333333,N,N,20.583333333333332,N,N,N,N,24.05,N,N,N,N,32.55,N,N,N,N,N,33.0,N,N,21.466666666666665,N,N,N,N,N,N,N,N,N,39.06666666666667,N,N,N,N,N,N
Kondiaronk Belvedere,N,N,53.13333333333333,N,43.06666666666667,N,N,45.93333333333333,N,N,43.46666666666667,51.75,N,N,46.766666666666666,N,N,N,N,44.916666666666664,N,N,N,N,46.416666666666664,N,N,N,N,N,N,N,N,42.333333333333336,N,N,N,N,N,N,N,N,N,65.25,N,N,N,N,N,N
Chateau Dufresne (Dufresne House),29.733333333333334,43.38333333333333,N,54.93333333333333,N,27.8,33.6,31.7,33.25,29.216666666666665,N,N,27.716666666666665,28.883333333333333,32.53333333333333,33.416666666666664,38.4,30.033333333333335,23.533333333333335,N,26.8,22.916666666666668,51.166666666666664,30.783333333333335,43.18333333333333,27.383333333333333,25.133333333333333,26.033333333333335,25.65,22.116666666666667,42.63333333333333,21.5,42.416666666666664,N,34.1,17.3,29.216666666666665,29.366666666666667,31.583333333333332,28.533333333333335,N,26.8,38.81666666666667,51.016666666666666,N,45.61666666666667,26.483333333333334,29.483333333333334,40.666666666666664,37.8
Phi Centre,N,N,44.833333333333336,45.416666666666664,34.766666666666666,N,N,33.18333333333333,N,N,35.166666666666664,43.45,N,N,34.016666666666666,N,N,N,N,36.61666666666667,N,N,N,N,33.666666666666664,N,N,N,N,N,N,N,N,34.03333333333333,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31.616666666666667
Bibliotheque et Archives Nationales du Quebec,N,N,28.083333333333332,42.11666666666667,18.016666666666666,16.983333333333334,N,11.866666666666667,22.433333333333334,N,18.416666666666668,26.7,N,N,12.7,N,22.583333333333332,N,N,19.866666666666667,N,12.1,N,N,29.366666666666667,16.566666666666666,N,N,N,11.3,31.816666666666666,N,N,17.283333333333335,N,N,N,N,N,N,N,15.983333333333333,24.566666666666666,31.183333333333334,N,N,N,N,N,20.983333333333334
Musée Marguerite-Bourgeoys,N,N,41.416666666666664,45.45,31.35,N,N,23.766666666666666,25.766666666666666,N,31.75,40.03333333333333,N,N,24.6,N,30.916666666666668,N,N,33.2,N,N,N,N,32.7,N,N,N,N,N,N,N,N,30.616666666666667,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29.316666666666666
Oasis Immersion - Montreal,N,N,39.63333333333333,41.666666666666664,29.566666666666666,N,N,25.433333333333334,22.983333333333334,N,29.966666666666665,38.25,N,N,26.266666666666666,N,29.133333333333333,N,N,31.416666666666668,N,N,N,N,28.916666666666668,N,N,N,N,N,N,N,N,28.833333333333332,N,N,N,N,N,N,N,N,N,44.75,N,N,17.216666666666665,N,N,27.533333333333335
Pont Jacques-Cartier - Montreal,N,N,N,62.36666666666667,32.266666666666666,N,N,N,41.68333333333333,N,32.666666666666664,N,N,N,N,N,N,N,N,34.11666666666667,N,N,N,N,49.61666666666667,N,N,N,N,N,51.06666666666667,N,N,31.533333333333335,N,N,N,N,N,N,N,N,47.25,N,N,N,N,N,N,N
Maisonneuve Monument - Montreal,N,N,38.3,40.333333333333336,28.233333333333334,N,N,23.1,20.65,N,28.633333333333333,36.916666666666664,N,N,23.933333333333334,N,26.8,N,N,30.083333333333332,N,N,N,N,27.583333333333332,N,N,N,N,N,N,N,N,27.5,N,N,N,N,N,N,N,N,N,42.416666666666664,N,N,14.883333333333333,N,N,26.2
